Tex,Tin,P,Radiation
13.6,16.0,709.00,0.0
13.1,16.0,695.00,0.0
12.7,16.0,712.00,0.0
12.2,16.0,737.00,0.0
11.6,16.0,768.00,0.0
11.2,16.0,790.00,0.0
11.1,16.0,796.00,0.0
11.6,16.0,772.00,0.013888889
11.5,19.0,2606.00,17.671852
11.6,19.0,1970.00,20.303333
11.7,19.0,1809.00,35.031483
11.8,19.0,1709.00,28.496298
11.7,19.0,1727.00,25.285742
11.6,19.0,1677.00,17.496851
11.5,19.0,1552.00,14.555369
11.6,19.0,1508.00,11.869629
12.3,19.0,1437.00,0.95111114
13.1,19.0,1583.00,0.0
13.5,16.47,0.00,0.0
12.7,16.01,55.00,0.0
12.5,16.0,211.00,0.0
12.1,16.0,309.00,0.0
11.4,16.0,399.00,0.0
10.7,16.0,482.00,0.0
10.1,16.0,554.00,0.0
9.7,16.0,612.00,0.0
9.5,16.0,662.00,0.0
9.3,16.0,707.00,0.0
9.0,16.0,761.00,0.0
8.7,16.0,821.00,0.0
8.5,16.0,870.00,0.0
8.4,16.0,909.00,0.013888889
8.4,19.0,2765.00,29.303703
8.6,19.0,2092.00,111.41482
9.6,19.0,1809.00,225.92352
10.7,19.0,1589.00,266.26224
11.3,19.0,1532.00,274.60965
11.6,19.0,1458.00,199.58464
11.3,19.0,1335.00,182.19981
11.1,19.0,1347.00,63.34444
10.2,19.0,1405.00,3.6692593
9.1,19.0,1680.00,0.0
8.6,16.22,5.00,0.0
8.4,16.0,280.00,0.0
8.2,16.0,451.00,0.0
8.0,16.0,566.00,0.0
7.8,16.0,663.00,0.0
7.5,16.0,750.00,0.0
7.5,16.0,822.00,0.0
6.8,16.0,918.00,0.0
6.5,16.0,998.00,0.0
6.3,16.0,1065.00,0.0
6.3,16.0,1117.00,0.0
6.4,16.0,1158.00,0.0
6.7,16.0,1181.00,0.0
7.2,16.0,1189.00,0.024074072
7.3,19.0,3035.00,39.37889
8.0,19.0,2326.00,139.63203
9.6,19.0,2007.00,225.77019
11.1,19.0,1757.00,261.49942
11.9,19.0,1700.00,220.14372
12.0,19.0,1639.00,157.34944
12.0,19.0,1521.00,83.97296
11.6,19.0,1515.00,39.74667
11.1,19.0,1524.00,1.818889
10.6,19.0,1742.00,0.0
10.5,16.21,3.00,0.0
10.6,16.0,239.00,0.0
10.8,16.0,358.00,0.0
11.1,16.0,413.00,0.0
11.3,16.0,450.00,0.0
11.6,16.0,469.00,0.0
11.8,16.0,489.00,0.0
11.9,16.0,508.00,0.0
12.1,16.0,513.00,0.0
12.2,16.0,520.00,0.0
12.2,16.0,528.00,0.0
12.1,16.0,541.00,0.0
11.9,16.0,562.00,0.0
12.0,16.0,566.00,0.024074072
12.0,19.0,2415.00,15.465
12.1,19.0,1775.00,34.024258
12.4,19.0,1603.00,37.13148
12.6,19.0,1502.00,35.510372
12.7,19.0,1522.00,29.783333
12.7,19.0,1460.00,27.91963
12.6,19.0,1328.00,14.614445
12.4,19.0,1305.00,8.652963
12.3,19.0,1277.00,1.0166667
12.3,19.0,1460.00,0.0
12.2,16.6,0.00,0.0
12.1,16.12,0.00,0.0
12.0,16.0,87.00,0.0
12.0,16.0,179.00,0.0
12.0,16.0,239.00,0.0
11.9,16.0,289.00,0.0
